"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","WM10548-ND","0152670331","CABLE FFC/FPC 16POS 1MM 12""","","2","0","4.08000","8.16"
"2","3","WM7962CT-ND","0522711679","CONN FPC BOTTOM 16POS 1MM R/A","","3","0","1.75000","5.25"

